"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3202099737533","98.2554825689824","98.1907551642114","98.1260277594405","98.0613003546696","97.9965729498986","97.9318455451277","97.8671181403568","97.8023907355859","97.7376633308149","97.672935926044","97.6082085212731","97.5434811165022","97.5434811165022","97.5434811165022","97.5434811165022","97.5434811165022","","","",
"Afghanistan","AFG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5157270361909","23.5228152802563","24.645147945536","25.7688870464189","26.8995728522227","28.0385769239566","29.1807950596847","30.411773922925","31.6546636107506","32.9096781726027","34.177027723266","35.4570999886872","36.7499624027606","38.0558319810101","39.3749320885894","40.7077070107199","42.0541827707493","43.4176100145511","","",
"Angola","AGO","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5575240889137","28.9892202098874","30.4224687291607","31.8560594848391","33.2903918742152","34.7226372190282","35.991281813309","37.259303234479","38.5275100366274","39.7942700259259","41.0607930612985","42.3266652444817","43.5914728138515","44.8547932791001","46.1170309780224","47.3744793353905","48.6279447858576","49.8769787577501","","",
"Albania","ALB","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.3274959275497","89.0959982084727","89.8988596580289","90.6814152199513","91.4434873612271","92.1844992794815","92.9045726917553","93.6035087079281","94.2811487636543","94.9370722780768","95.5716999202353","96.1847704181257","96.7764332336587","97.3125483043076","97.6768549535362","97.6910339666252","97.7048765530935","97.7183683821447","","",
"Andorra","AND","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9999971676266","99.9999959156836","100.000002606308","99.9999962475436","99.9999993953907","100.000004710026","99.9999976931792","99.9999977255833","100.000001129116","99.9999966121292","99.9999954451919","100.000001156937","100","99.9999975924307","100.00000244488","100","99.9999962826959","","",
"Arab World","ARB","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.6382550933011","73.8850969442878","74.1952296738185","74.6172114202324","75.0670526527644","75.7326333805026","76.4337681448279","77.1139317391037","77.8494575476503","78.5669380869987","79.2601002951649","79.9296209441006","80.5716564182019","81.206258728715","81.7822248605943","82.3500012220258","82.8417654257603","83.1122349963877","","",
"United Arab Emirates","ARE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.520198565434","98.520198565434","98.5243117015755","98.528424837717","98.5325379738585","98.53665111","98.5407642461415","98.544877382283","98.5489905184245","98.553103654566","98.5572167907075","98.561329926849","98.5654430629905","98.569556199132","98.5736693352735","98.577782471415","98.5818956075565","98.586008743698","","",
"Argentina","ARG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9753089524854","87.5419323030329","88.1075832149053","88.6724996497374","89.2373021929672","89.8018034465242","90.3662073253866","90.9303440270357","91.4944038763587","92.0582086768405","92.6217791379891","93.1824993783585","93.7417481852165","94.1675570736228","94.2010482970055","94.2348507736493","94.2585054176821","","","",
"Armenia","ARM","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9020077883816","87.2807027800428","87.6801344834894","88.0879578307792","88.4965003755754","88.9056033154716","89.3155819323634","89.7261176371164","90.1375293202039","90.5494965819057","90.9621777746264","91.3755731772587","91.7896816368386","92.208479764726","92.6320407524375","93.0606067851468","93.4069715588385","93.6423072695355","","",
"American Samoa","ASM","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8781046960693","64.8729088169453","64.8677129378213","64.8625170586972","64.8573211795732","64.8521253004492","64.8469294213251","64.8417335422011","64.836537663077","63.6822701188885","62.5281867583771","61.3742875815433","60.2205725883875","59.0670417789088","57.9136951531078","56.7605327109848","55.6075544525389","54.4547603777711","","",
